9.40,9.77,9.43,10.60,47.22,-0.34
6.27,8.40,9.10,13.70,46.74,-0.49
9.37,10.10,9.27,7.03,48.30,1.55
1.97,1.87,2.77,2.70,84.05,1.81
8.60,11.87,9.70,8.03,46.83,2.41
0.37,0.70,0.53,0.53,94.52,-1.81
6.43,9.63,9.87,11.23,48.78,-1.26
8.57,9.07,8.97,11.27,48.42,-3.28
5.87,11.10,9.93,10.97,47.01,0.80
10.40,9.67,10.47,8.10,48.99,2.04
8.70,10.73,11.43,9.13,47.04,0.89
9.87,10.23,8.63,10.63,47.58,2.30
4.43,4.43,4.33,7.50,69.74,1.63
0.27,0.97,1.07,1.00,92.12,0.35
11.83,8.73,7.83,11.33,47.24,1.21
7.10,8.80,9.63,7.67,51.09,-0.05
11.40,9.40,9.27,9.70,48.49,-0.42
7.83,8.00,8.73,11.43,47.44,-6.23
9.00,10.73,11.30,8.27,49.01,-2.41
8.60,9.03,9.43,10.17,50.19,0.96
9.77,8.23,8.63,11.47,48.27,-2.15
7.20,8.97,6.23,6.33,57.68,-2.99
3.87,4.87,5.20,5.97,69.31,-3.49
3.83,4.37,6.50,3.47,73.15,0.18
2.17,4.60,3.57,4.87,77.83,0.76
1.17,1.90,1.60,2.80,86.18,-3.29
9.43,10.47,7.23,10.87,48.14,1.59
10.57,7.27,10.17,9.63,47.83,-3.65
1.27,2.67,2.33,2.13,85.33,-4.48
8.23,7.83,10.67,9.80,47.68,-1.92
6.83,6.03,6.93,8.80,60.17,-0.94
5.47,6.53,10.50,6.67,59.41,-4.54
8.40,11.10,9.13,9.40,47.62,1.37
3.80,3.80,4.67,5.47,73.52,1.84
8.50,9.23,9.33,11.97,47.76,-2.14
2.30,2.97,3.57,3.97,80.38,3.67
9.27,10.57,7.60,12.33,48.21,-4.43
7.37,10.73,10.47,12.17,47.35,1.72
8.83,9.03,7.37,10.03,48.93,2.24
8.43,7.97,8.60,10.37,54.16,-0.70
9.77,9.13,7.87,11.90,46.78,2.24
8.70,12.07,9.70,9.17,47.88,2.45
10.10,9.50,9.10,8.93,48.38,-5.90
8.27,8.07,9.80,6.37,50.87,-3.53
8.87,9.33,11.27,11.53,47.54,1.06
8.80,8.77,9.00,9.67,49.11,0.10
10.97,11.30,9.77,9.93,48.34,-2.72
10.60,13.57,7.40,9.50,46.83,-6.86
10.77,7.63,9.17,11.17,49.32,0.46
7.83,9.30,11.63,8.50,48.47,-0.31
8.57,6.93,11.47,9.60,49.26,3.38
0.77,1.57,1.47,1.53,88.94,-2.11
6.97,11.87,8.27,11.73,48.56,0.32
6.70,8.03,7.23,7.33,59.67,-2.10
0.43,0.83,0.83,0.70,93.55,-2.66
0.33,0.60,0.73,0.97,92.61,-0.04
10.20,10.37,9.37,8.43,48.14,-6.47
0.80,2.43,1.77,1.80,87.75,-0.92
0.53,0.70,1.03,0.87,91.88,-1.10
0.73,0.83,0.97,0.93,92.26,2.05
0.53,0.87,0.77,0.73,93.30,-0.99
8.00,11.40,11.30,8.83,47.98,0.26
7.80,9.93,11.87,10.60,48.70,0.02
6.10,7.73,6.00,6.67,60.78,-1.70
7.13,10.23,9.13,11.67,48.55,-1.65
0.27,0.73,0.80,1.00,92.36,-2.76
0.27,0.77,0.57,0.60,93.49,-0.56
9.00,12.97,9.03,9.83,47.36,2.10
9.43,11.43,9.17,8.47,47.47,-3.61
8.60,9.60,10.80,10.20,48.49,1.85
9.27,9.10,10.63,11.13,47.12,-2.85
2.27,4.60,3.37,4.47,77.77,0.36
6.33,7.17,8.70,9.37,58.53,-7.63
9.00,7.70,10.07,9.13,48.72,-9.11
6.70,10.37,10.70,8.63,49.35,-3.02
0.77,1.10,0.83,1.37,91.20,-6.24
7.20,10.30,8.00,9.93,48.99,-0.39
8.00,13.13,9.17,8.23,48.03,2.21
5.33,6.57,6.80,5.93,66.84,-2.48
9.77,9.27,10.27,9.93,49.24,2.21
8.53,8.17,11.97,8.87,51.38,-4.08
8.13,9.57,9.37,10.27,49.44,-3.00
10.13,8.60,9.70,10.03,46.98,0.03
5.80,7.77,11.10,7.10,55.98,3.12
11.13,7.80,9.23,12.50,47.51,-0.97
7.93,10.10,10.60,8.33,48.34,2.43
9.03,9.07,11.93,8.57,48.14,1.92
