11.87,47.92,7.57,10.57,9.03,-0.49
9.10,47.99,11.13,8.30,8.50,3.43
7.77,48.23,9.87,9.77,9.17,-6.13
7.17,48.30,8.87,10.87,8.87,-0.74
9.10,46.30,9.70,12.77,7.67,-7.52
7.43,46.99,9.27,8.30,12.73,1.07
6.97,47.42,10.03,8.07,13.83,0.11
9.77,48.99,7.80,8.70,11.27,-4.00
8.60,48.24,8.57,10.53,9.83,2.21
5.33,60.83,9.17,6.73,5.03,0.54
0.07,95.74,0.50,0.37,0.30,-0.32
9.27,49.03,10.67,10.67,7.20,-1.02
6.93,49.86,10.27,7.33,11.10,1.71
10.93,48.24,9.57,9.97,8.73,-1.11
7.53,48.49,9.63,10.47,10.10,-0.30
3.60,75.68,3.57,4.67,4.07,0.55
6.17,49.35,10.97,8.93,10.97,2.27
9.60,49.07,10.07,10.93,8.53,2.26
10.87,48.02,9.00,8.50,8.73,2.82
9.17,48.61,7.80,9.63,11.03,-0.33
5.63,64.74,5.30,6.00,7.30,-1.26
0.63,89.46,1.50,1.70,1.00,-1.27
10.60,47.74,9.97,8.57,10.23,1.45
11.77,48.45,12.47,8.37,10.20,-2.23
6.43,64.91,5.53,6.47,6.77,1.56
6.50,60.94,8.20,7.40,5.47,1.85
10.57,47.11,8.13,12.00,8.40,-1.83
10.00,48.03,9.67,8.53,8.67,2.38
6.97,56.70,8.83,8.53,7.70,-5.83
7.93,49.63,10.43,10.10,9.80,1.32
3.73,74.59,4.77,4.03,4.37,-5.74
9.40,48.76,11.17,8.83,8.73,-1.53
9.67,46.44,10.60,11.23,8.03,-4.82
8.47,47.98,6.27,14.90,10.27,-0.70
7.20,50.43,8.20,11.70,9.00,-2.01
0.57,92.40,0.80,1.30,0.83,2.48
8.87,48.16,8.80,10.73,9.07,-2.62
8.30,59.50,7.13,8.27,6.27,-0.20
8.00,51.76,9.80,7.53,9.53,-0.09
8.47,46.86,7.70,11.13,11.83,-2.43
8.80,48.80,10.87,9.30,8.90,0.66
1.17,87.46,1.90,1.87,1.50,-0.19
8.33,47.72,13.50,9.03,9.50,-1.14
9.47,54.42,8.43,9.47,8.13,-0.23
5.60,63.23,6.20,6.77,6.37,-0.62
8.50,49.28,9.23,11.00,8.70,-5.41
10.20,49.58,7.47,11.17,8.67,0.66
1.40,85.82,2.30,1.33,2.87,-3.83
11.03,49.45,9.87,6.77,10.03,-0.32
8.83,47.02,10.00,9.87,6.93,-2.18
8.30,49.14,8.37,10.27,10.20,0.71
8.03,48.43,10.77,10.57,9.47,-2.37
9.97,48.26,7.43,11.60,8.70,-2.62
8.17,51.85,9.30,7.70,7.63,-0.73
6.77,49.18,9.23,9.83,10.83,1.09
0.30,92.45,0.73,0.90,1.07,-2.06
9.03,48.69,9.87,11.07,9.77,-7.70
7.80,48.38,10.20,9.17,9.73,0.59
6.00,61.68,6.87,6.33,8.53,-3.38
9.70,46.57,12.83,10.43,7.17,0.05
9.77,45.96,12.90,11.73,7.60,1.95
7.83,48.34,11.63,11.30,8.67,2.09
7.37,53.24,8.33,7.57,10.33,1.55
3.47,67.64,6.53,7.50,4.87,-2.99
10.37,48.52,6.27,12.47,10.40,-0.87
7.70,49.45,10.73,10.60,9.23,-1.99
9.43,47.56,8.97,11.33,9.77,-0.20
9.83,49.42,7.17,9.67,8.87,0.44
11.73,49.06,9.67,7.27,10.53,0.58
9.07,47.64,7.63,9.30,11.60,-1.46
8.37,47.52,10.30,11.37,9.23,-0.58
8.40,58.28,6.27,8.20,7.17,-0.29
7.17,58.37,6.73,7.90,6.93,1.89
8.23,47.76,12.83,9.83,10.30,0.37
6.30,65.16,5.97,5.63,6.53,-5.97
7.13,47.81,10.20,10.87,6.83,-1.59
7.93,49.66,9.80,9.97,9.37,-2.66
8.50,49.11,13.27,8.93,7.43,-0.89
9.03,50.52,11.57,9.50,8.33,-3.84
8.30,46.91,10.17,10.43,10.50,2.50
9.83,47.15,9.10,9.93,8.80,-2.23
1.50,84.08,2.83,3.17,2.20,1.88
8.33,48.66,12.13,9.60,7.93,1.50
7.70,59.09,5.83,8.90,7.87,-6.60
3.63,73.10,4.30,6.30,4.90,2.36
7.43,47.21,9.67,11.40,11.20,0.79
7.20,49.26,9.43,9.83,8.53,-5.10
